1,1
2,22
3,3
4,2
5,5
6,3
7,11
8,23
9,24
10,20
11,21
12,25
13,11
14,13
15,4
16,5
17,4
18,8
19,2
20,0
21,16
22,0
23,14
24,17
25,19
26,1
27,10
28,8
29,23
30,8
31,9
32,21
33,10
34,2
35,0
36,17
37,18
38,19
39,15
40,15
41,16
42,7
43,13
44,17
45,7
46,13
47,7
48,14
49,24
50,0
51,7
52,8
53,20
54,9
55,15
56,2
57,23
58,25
59,17
60,14
61,7
62,2
63,11
64,17
65,10
66,8
67,14
68,20
69,12
70,21
71,24
72,22
73,11
74,8
75,21
76,18
77,15
78,17
79,16
80,19
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
precision,0.750000,0.500000,0.600000,0.000000,0.500000,0.500000,0.000000,0.400000,0.500000,0.000000,0.000000,0.750000,1.000000,0.333333,0.500000,0.500000,0.666667,0.333333,1.000000,0.333333,0.666667,0.250000,0.500000,0.333333,0.666667,0.000000
recall,0.750000,0.500000,0.750000,0.000000,0.500000,0.500000,0.000000,0.666667,1.000000,0.000000,0.000000,0.750000,0.333333,0.250000,0.666667,0.666667,0.666667,0.500000,0.666667,0.500000,0.666667,0.333333,0.333333,0.500000,0.666667,0.000000
f1 score,0.750000,0.500000,0.666667,0.000000,0.500000,0.500000,0.000000,0.500000,0.666667,0.000000,0.000000,0.750000,0.500000,0.285714,0.571429,0.571429,0.666667,0.400000,0.800000,0.400000,0.666667,0.285714,0.400000,0.400000,0.666667,0.000000
accuracy,0.462500
macro-average f1,0.440293
weighted-average f1,0.436190
